week_no,published,rank,artist,title,in_june16_100,source_url
184,2017-03-24,3,Soccer Mommy,Last Girl,yes,https://stereogum.com/1931673/the-5-best-songs-of-the-week-184/
184,2017-03-24,4,Gorillaz,Andromeda,yes,https://stereogum.com/1931673/the-5-best-songs-of-the-week-184/
184,2017-03-24,5,Drake,Passionfruit,yes,https://stereogum.com/1931673/the-5-best-songs-of-the-week-184/
183,2017-03-17,1,Frank Ocean,Chanel,yes,https://stereogum.com/1930423/the-5-best-songs-of-the-week-183/
183,2017-03-17,2,Downtown Boys,Somos Chulas (No Somos Pendejas),yes,https://stereogum.com/1930423/the-5-best-songs-of-the-week-183/
183,2017-03-17,3,EMA,Stand With You (Song For Ghostship),yes,https://stereogum.com/1930423/the-5-best-songs-of-the-week-183/
183,2017-03-17,4,Tinashe,Flame,yes,https://stereogum.com/1930423/the-5-best-songs-of-the-week-183/
183,2017-03-17,5,Tara Jane O'Neil,Blow,yes,https://stereogum.com/1930423/the-5-best-songs-of-the-week-183/
182,2017-03-10,1,PWR BTTM,Answer My Text,yes,https://stereogum.com/1929246/the-5-best-songs-of-the-week-182/
182,2017-03-10,2,Pallbearer,I Saw The End,yes,https://stereogum.com/1929246/the-5-best-songs-of-the-week-182/
182,2017-03-10,3,Girlpool,123,yes,https://stereogum.com/1929246/the-5-best-songs-of-the-week-182/
182,2017-03-10,4,Flasher,Winnie,yes,https://stereogum.com/1929246/the-5-best-songs-of-the-week-182/
182,2017-03-10,5,Joan Shelley,Wild Indifference,yes,https://stereogum.com/1929246/the-5-best-songs-of-the-week-182/
181,2017-03-03,1,Lorde,Green Light,yes,https://stereogum.com/1927999/the-5-best-songs-of-the-week-181/
181,2017-03-03,2,Charly Bliss,Percolator,yes,https://stereogum.com/1927999/the-5-best-songs-of-the-week-181/
181,2017-03-03,3,Calvin Harris,Slide (Feat. Frank Ocean & Migos),yes,https://stereogum.com/1927999/the-5-best-songs-of-the-week-181/
181,2017-03-03,4,Alex G,Bobby,yes,https://stereogum.com/1927999/the-5-best-songs-of-the-week-181/
181,2017-03-03,5,Young Thug,Safe,yes,https://stereogum.com/1927999/the-5-best-songs-of-the-week-181/
180,2017-02-24,1,Arca,Piel,yes,https://stereogum.com/1926495/the-5-best-songs-of-the-week-180/
180,2017-02-24,2,Lana Del Rey,Love,yes,https://stereogum.com/1926495/the-5-best-songs-of-the-week-180/
